"id","source","tip"
"32","https://microbot.cloud/api/fact/random","Did you know Microbot has integrated support for inventory setups automatically equipping and withdrawing items based on user profiles?"
"33","https://microbot.cloud/api/fact/random","Did you know that the QolPlugin has a lot of useful features? Such as auto eat food, auto drink prayer potions and auto reload cannon and much more!"
"34","https://microbot.cloud/api/fact/random","Did you know that the QolPlugin is a perfect plugin for mains that want to play the game themself but want some QOL features to make it easier?"
"35","https://microbot.cloud/api/fact/random","Did you know that you can auto walk to a location by right clicking the minimap and selecting walk here?"
"36","https://microbot.cloud/api/fact/random","Did you know that you can double click a profile to auto login if you set a password on it?"
"37","https://microbot.cloud/api/fact/random","Dragon claws spec is only worth using if you have high strength bonus, otherwise DDS is better value."
"38","https://microbot.cloud/api/fact/random","Dragon hunter lance is better than rapier at all dragons and drakes."
"39","https://microbot.cloud/api/fact/random","Dragon Slayer II unlocks Vorkath, one of the most consistent money-making bosses."
"40","https://microbot.cloud/api/fact/random","Enable --developer-mode for plugin debugging or local development."
"41","https://microbot.cloud/api/fact/random","Fairy rings require completion of Fairytale II for unlimited access without a staff."
"42","https://microbot.cloud/api/fact/random","Full Bandos is overrated at some bosses compared to Masori or crystal setups with accuracy."
"43","https://microbot.cloud/api/fact/random","Gauntlet is one of the highest GP/hr solo activities once mastered and needs no supplies."
"44","https://microbot.cloud/api/fact/random","Godwars Dungeon has a 40-KC requirement per room unless you have the respective god item."
"45","https://microbot.cloud/api/fact/random","Guardians of the Rift is better Runecraft XP than traditional methods and gives rune packs."
"46","https://microbot.cloud/api/fact/random","Hallowed Sepulchre is the best Thieving XP and profit if you can consistently reach floor 5."
"47","https://microbot.cloud/api/fact/random","Herb runs take 90 seconds and can net 200k+ profit every 80 minutes with snapdragons."
"48","https://microbot.cloud/api/fact/random","HTTP(s) proxies are not safe. They do not handle ingame network traffic. Use SOCKS5 proxies instead."
"49","https://microbot.cloud/api/fact/random","Infernal cape gives +1 max hit on some setups at bossing due to strength bonus."
"50","https://microbot.cloud/api/fact/random","Inferno waves 50-69 are the hardest part - practice flicking the blob and ranger simultaneously."
"51","https://microbot.cloud/api/fact/random","Inventory setups are integrated, so gear and items auto-equip or withdraw from saved profiles."
"52","https://microbot.cloud/api/fact/random","It began as a tool to add quality-of-life functions for gameplay."
"53","https://microbot.cloud/api/fact/random","Jagex can replay every specific action a player takes, including mouse movements and clicks. This detailed replay capability helps them identify similiar non-human patterns. This is why private scripts can go undetected for a long time."
"54","https://microbot.cloud/api/fact/random","Jagex moderators have explained that detection systems improve by analyzing metrics from flagged sample accounts. This means behavior from caught accounts is studied and then used to update detection in similar areas."
"55","https://microbot.cloud/api/fact/random","Jagex uses heat maps to track player activity in different game areas. If a bot is detected in a high-traffic area, it may be flagged more quickly than in a low-traffic zone."
"56","https://microbot.cloud/api/fact/random","Karambwans can be combo-eaten with other food to heal 36+ HP in one tick."
"57","https://microbot.cloud/api/fact/random","Kingdom of Miscellania on max approval gives passive income while you do other activities."
"58","https://microbot.cloud/api/fact/random","Looting bag lets you store 28 extra items in the wilderness, doubling inventory space."
"59","https://microbot.cloud/api/fact/random","Mahogany Homes is the cheapest way to train Construction and gives decent XP rates."
"60","https://microbot.cloud/api/fact/random","Microbot does not advertise on YouTube or other platforms"
"61","https://microbot.cloud/api/fact/random","Microbot first plugin was a house tab maker."
"62","https://microbot.cloud/api/fact/random","Microbot has a custom web walker that handles pathfinding and obstacle avoidance?"
"63","https://microbot.cloud/api/fact/random","Microbot has a development team? People that consistently contribute to the project get rewarded with a developer status."
"64","https://microbot.cloud/api/fact/random","Microbot has a scheduler to start/stop bots at specific times"
"65","https://microbot.cloud/api/fact/random","Microbot has an autologin plugin that will fill in your login credentials based on your runelite profile data."
"66","https://microbot.cloud/api/fact/random","Microbot has an official launcher"
"67","https://microbot.cloud/api/fact/random","Microbot is migrating all it's plugins to a plugin hub so you download. This way your client will only load the plugins you need and improve performance!"
"68","https://microbot.cloud/api/fact/random","Microbot is more than just the client? We have a Website/Launcher/Api/Discord/Youtube"
"69","https://microbot.cloud/api/fact/random","Microbot isn�t just a client; there is also a website, launcher, API, Discord, and YouTube."
"70","https://microbot.cloud/api/fact/random","Microbot started in 2023."
"71","https://microbot.cloud/api/fact/random","Microbot supports anti ban profiles"
"72","https://microbot.cloud/api/fact/random","Microbot uses Menu swapping to automate certain actions. This technique modifies the in-game right-click menu to prioritize specific options."
"73","https://microbot.cloud/api/fact/random","Microbot was first launched in 2023."
"74","https://microbot.cloud/api/fact/random","Microbot was initially created to play the game with QOL features."
"75","https://microbot.cloud/api/fact/random","Minnows at 82 Fishing are 40k+ XP/hr and profitable with minimal attention."
"76","https://microbot.cloud/api/fact/random","Mole + alts = near-infinite supply of nests and consistent GP/hr."
"77","https://microbot.cloud/api/fact/random","Nex requires teamwork and freezing - bring Ancient spells or crystal bow for minions."
"78","https://microbot.cloud/api/fact/random","No ads are placed on YouTube or other platforms."
"79","https://microbot.cloud/api/fact/random","NPC contact spell can repair Barrows gear without traveling to an NPC."
"80","https://microbot.cloud/api/fact/random","Piety is a 23% boost to melee stats - always worth the prayer drain at bosses."
"81","https://microbot.cloud/api/fact/random","Plugins are moving to a hub, so the client only loads what you select for better performance."
"82","https://microbot.cloud/api/fact/random","Protect item prayer lets you keep 4 items on death, not 3."
"83","https://microbot.cloud/api/fact/random","Pyramid Plunder at 91+ Thieving is more AFK and still great XP with sceptre chance."
"84","https://microbot.cloud/api/fact/random","Revenants are high GP/hr only if you're willing to risk being PK'd and world hop aggressively."
"85","https://microbot.cloud/api/fact/random","Ring of suffering (r) recoil stacks can passively deal thousands of damage in long boss fights."
"86","https://microbot.cloud/api/fact/random","Ring of wealth does not increase rare drop table rates for most bosses."
"87","https://microbot.cloud/api/fact/random","Run with --clean-randomdat to delete random.dat, then recreate it as read-only to prevent corruption or unwanted changes."
"88","https://microbot.cloud/api/fact/random","Script settings are stored per profile, so each profile can have its own config."
"89","https://microbot.cloud/api/fact/random","Scythe of vitur is BiS at ToB and Nightmare but costs millions per hour to use."
"90","https://microbot.cloud/api/fact/random","Select a configuration profile with --profile <name> to isolate setups."
"91","https://microbot.cloud/api/fact/random","Sins of the Father unlocks Darkmeyer agility course - best rooftop XP and marks of grace."
"92","https://microbot.cloud/api/fact/random","Skull tricking is still common in the wilderness - be cautious with left-click attacks."
"93","https://microbot.cloud/api/fact/random","Slayer helmet only gives its damage bonus on Slayer tasks."
"94","https://microbot.cloud/api/fact/random","Solo ToB is technically possible but extremely inefficient for profit unless mastered."
"95","https://microbot.cloud/api/fact/random","Song of the Elves unlocks Zalcano, Gauntlet, and the best one-click Crafting training."
"96","https://microbot.cloud/api/fact/random","Stamina potions reduce tick delay when running and make PvM movement smoother."
"97","https://microbot.cloud/api/fact/random","Tbow is useless at low-magic enemies but destroys anything with high magic levels."
"98","https://microbot.cloud/api/fact/random","Tempoross is one of the best low-requirement money makers at 35 Fishing."
"99","https://microbot.cloud/api/fact/random","The dragon warhammer spec reduces Defence by 30%, stacking multiplicatively with other gear for massive DPS increases."
"100","https://microbot.cloud/api/fact/random","The first plugin released was a house tab maker."
"101","https://microbot.cloud/api/fact/random","The Grand Exchange tax is 2% and cannot be avoided."
"102","https://microbot.cloud/api/fact/random","The launcher lets you run multiple Jagex accounts."
"103","https://microbot.cloud/api/fact/random","The Legends' Guild shop sells Dragon battleaxe for cheap - useful for stacking with piety."
"104","https://microbot.cloud/api/fact/random","The Lunar spellbook's NPC contact works in instanced areas."
"105","https://microbot.cloud/api/fact/random","The max hit of a blowpipe scales with dart type and your ranged strength bonus."
"106","https://microbot.cloud/api/fact/random","the Microbot Launcher supports multiple jagex accounts"
"107","https://microbot.cloud/api/fact/random","The Nightmare drops are rare but extremely valuable - Inquisitor's armor is BiS for crush."
"108","https://microbot.cloud/api/fact/random","The proxy checker queries an external endpoint to detect your public IP. If the returned value is a valid IPv4 address, the proxy is considered working."
"109","https://microbot.cloud/api/fact/random","Theatre of Blood (ToB) is the hardest group content but has insane profit potential."
"110","https://microbot.cloud/api/fact/random","Thralls from the Arceuus spellbook add consistent DPS to any boss fight."
"111","https://microbot.cloud/api/fact/random","Tick manipulation can double or triple skilling rates but requires precise timing."
"112","https://microbot.cloud/api/fact/random","Tithe Farm unlocks auto-weed and herb sack but is tedious - use teleports to speed it up."
"113","https://microbot.cloud/api/fact/random","Tombs of Amascut (ToA) scales in difficulty - 150 invocation is the sweet spot for profit."
"114","https://microbot.cloud/api/fact/random","Torture amulet is always better than fury for melee, and anguish is always better for ranged."
"115","https://microbot.cloud/api/fact/random","Use --clean-jagex-launcher to reset stored Jagex Launcher logins by deleting credentials.properties."
"116","https://microbot.cloud/api/fact/random","Use --disable-telemetry to stop sending usage data."
"117","https://microbot.cloud/api/fact/random","Using a weapon special attack before switching gear prevents attack speed loss."
"118","https://microbot.cloud/api/fact/random","Using alt accounts at Corp greatly increases drop chances and reduces kill time."
"119","https://microbot.cloud/api/fact/random","Using an alt account to scout worlds saves time at crowded bosses."
"120","https://microbot.cloud/api/fact/random","Using Preserve prayer extends potion timers by 50% - essential for long boss trips."
"121","https://microbot.cloud/api/fact/random","Vengeance deals 75% of damage taken back to the attacker - powerful in both PvM and PvP."
"122","https://microbot.cloud/api/fact/random","Vorkath becomes profitable even with mid-tier gear once you unlock extended super antifire."
"123","https://microbot.cloud/api/fact/random","Wintertodt is profitable from level 50 Firemaking and requires minimal gear investment."
"124","https://microbot.cloud/api/fact/random","You can animation stall to eat food without losing a tick during PvM."
"125","https://microbot.cloud/api/fact/random","You can drop-trick clue scrolls to keep multiple at once."
"126","https://microbot.cloud/api/fact/random","you can link a single gmail account by using '+' in your email? Example: youremail+1@gmail.com;youremail+2@gmail.com"
"127","https://microbot.cloud/api/fact/random","You can lure certain bosses like Vorkath into easy safe spots during their mechanics."
"128","https://microbot.cloud/api/fact/random","You can safe-spot most melee NPCs using corners or diagonal tiles."
"129","https://microbot.cloud/api/fact/random","You can safespot the Jad healers by tagging them and running to Italy rock."
"130","https://microbot.cloud/api/fact/random","You can use the 'house tablet → Camelot teleport → Seers' shortcut' for faster clue steps."
"131","https://microbot.cloud/api/fact/random","your script configuration is saved for each profile? You can have different configurations for different profiles."
